C:\Anaconda3\envs\data_scraper.py\python.exe C:/Users/kristof.drexler/Desktop/corona_tracker_HU-master/data_scraper.py
2020.03.17. ,  13:43 :  No new data found.
2020.03.17. ,  13:44 :  No new data found.
2020.03.17. ,  13:45 :  No new data found.
2020.03.17. ,  13:46 :  No new data found.
2020.03.17. ,  13:47 :  No new data found.
2020.03.17. ,  13:48 :  No new data found.
2020.03.17. ,  13:49 :  No new data found.
2020.03.17. ,  13:50 :  No new data found.
2020.03.17. ,  13:51 :  No new data found.
2020.03.17. ,  13:52 :  No new data found.
2020.03.17. ,  13:53 :  No new data found.
2020.03.17. ,  13:54 :  No new data found.
2020.03.17. ,  13:55 :  No new data found.
2020.03.17. ,  13:57 :  No new data found.
2020.03.17. ,  13:58 :  No new data found.
2020.03.17. ,  13:59 :  No new data found.
2020.03.17. ,  14:00 :  No new data found.
2020.03.17. ,  14:01 :  No new data found.
2020.03.17. ,  14:02 :  No new data found.
2020.03.17. ,  14:03 :  No new data found.
2020.03.17. ,  14:04 :  No new data found.
2020.03.17. ,  14:05 :  No new data found.
2020.03.17. ,  14:06 :  No new data found.
2020.03.17. ,  14:07 :  No new data found.
2020.03.17. ,  14:08 :  No new data found.
2020.03.17. ,  14:09 :  No new data found.
2020.03.17. ,  14:10 :  No new data found.
2020.03.17. ,  14:11 :  No new data found.
2020.03.17. ,  14:12 :  No new data found.
2020.03.17. ,  14:13 :  No new data found.
2020.03.17. ,  14:14 :  No new data found.
2020.03.17. ,  14:15 :  No new data found.
2020.03.17. ,  14:16 :  No new data found.
2020.03.17. ,  14:17 :  No new data found.
2020.03.17. ,  14:18 :  No new data found.
2020.03.17. ,  14:19 :  No new data found.
2020.03.17. ,  14:20 :  No new data found.
2020.03.17. ,  14:21 :  No new data found.
2020.03.17. ,  14:22 :  No new data found.
2020.03.17. ,  14:23 :  No new data found.
2020.03.17. ,  14:24 :  No new data found.
2020.03.17. ,  14:25 :  No new data found.
2020.03.17. ,  14:26 :  No new data found.
2020.03.17. ,  14:27 :  No new data found.
2020.03.17. ,  14:28 :  No new data found.
2020.03.17. ,  14:29 :  No new data found.
2020.03.17. ,  14:30 :  No new data found.
2020.03.17. ,  14:31 :  No new data found.
2020.03.17. ,  14:32 :  No new data found.
2020.03.17. ,  14:33 :  No new data found.
2020.03.17. ,  14:34 :  No new data found.
2020.03.17. ,  14:35 :  No new data found.
2020.03.17. ,  14:36 :  No new data found.
2020.03.17. ,  14:37 :  No new data found.
2020.03.17. ,  14:38 :  No new data found.
2020.03.17. ,  14:39 :  No new data found.
2020.03.17. ,  14:40 :  No new data found.
2020.03.17. ,  14:41 :  No new data found.
2020.03.17. ,  14:42 :  No new data found.
2020.03.17. ,  14:43 :  No new data found.
2020.03.17. ,  14:44 :  No new data found.
2020.03.17. ,  14:45 :  No new data found.
2020.03.17. ,  14:46 :  No new data found.
2020.03.17. ,  14:47 :  No new data found.
2020.03.17. ,  14:49 :  No new data found.
2020.03.17. ,  14:50 :  No new data found.
2020.03.17. ,  14:51 :  No new data found.
2020.03.17. ,  14:52 :  No new data found.
2020.03.17. ,  14:53 :  No new data found.
2020.03.17. ,  14:54 :  No new data found.
2020.03.17. ,  14:55 :  No new data found.
2020.03.17. ,  14:56 :  No new data found.
2020.03.17. ,  14:57 :  No new data found.
2020.03.17. ,  14:58 :  No new data found.
2020.03.17. ,  14:59 :  No new data found.
2020.03.17. ,  15:00 :  No new data found.
2020.03.17. ,  15:01 :  No new data found.
2020.03.17. ,  15:02 :  No new data found.
2020.03.17. ,  15:03 :  No new data found.
2020.03.17. ,  15:04 :  No new data found.
2020.03.17. ,  15:05 :  No new data found.
2020.03.17. ,  15:06 :  No new data found.
